2026-05-05 15:18:07 | OnTransferStarted | vreme = 2026-05-05 15:18:07 | folder = C:\Users\Pavle Stefanovic\Downloads\Projekat_KT2_zadatak8_9_10\Projekat\Service\bin\Debug\ServerData\Session_20260505_151807
2026-05-05 15:18:08 | OnSampleReceived | sample = 1 | datum = 2020-01-01 00:10:00 | P = 1008.89 | Pmean = 1008.89
2026-05-05 15:18:09 | OnSampleReceived | sample = 2 | datum = 2020-01-01 00:20:00 | P = 1008.76 | Pmean = 1008.825
2026-05-05 15:18:10 | OnSampleReceived | sample = 3 | datum = 2020-01-01 00:30:00 | P = 1008.66 | Pmean = 1008.77
2026-05-05 15:18:11 | OnSampleReceived | sample = 4 | datum = 2020-01-01 00:40:00 | P = 1008.64 | Pmean = 1008.7375
2026-05-05 15:18:12 | OnSampleReceived | sample = 5 | datum = 2020-01-01 00:50:00 | P = 1008.61 | Pmean = 1008.712
2026-05-05 15:18:13 | OnSampleReceived | sample = 6 | datum = 2020-01-01 01:00:00 | P = 1008.44 | Pmean = 1008.66666666667
2026-05-05 15:18:14 | OnSampleReceived | sample = 7 | datum = 2020-01-01 01:10:00 | P = 1008.49 | Pmean = 1008.64142857143
2026-05-05 15:18:16 | OnSampleReceived | sample = 8 | datum = 2020-01-01 01:30:00 | P = 1008.29 | Pmean = 1008.5975
2026-05-05 15:18:17 | OnSampleReceived | sample = 9 | datum = 2020-01-01 01:40:00 | P = 1008.28 | Pmean = 1008.56222222222
2026-05-05 15:18:18 | OnSampleReceived | sample = 10 | datum = 2020-01-01 01:50:00 | P = 1008.24 | Pmean = 1008.53
2026-05-05 15:18:19 | OnSampleReceived | sample = 11 | datum = 2020-01-01 02:00:00 | P = 1008.32 | Pmean = 1008.51090909091
2026-05-05 15:18:20 | OnSampleReceived | sample = 12 | datum = 2020-01-01 02:10:00 | P = 1008.24 | Pmean = 1008.48833333333
2026-05-05 15:18:21 | OnSampleReceived | sample = 13 | datum = 2020-01-01 02:20:00 | P = 1008.35 | Pmean = 1008.47769230769
2026-05-05 15:18:22 | OnSampleReceived | sample = 14 | datum = 2020-01-01 02:30:00 | P = 1008.3 | Pmean = 1008.465
2026-05-05 15:18:23 | OnSampleReceived | sample = 15 | datum = 2020-01-01 02:40:00 | P = 1008.4 | Pmean = 1008.46066666667
2026-05-05 15:18:24 | OnSampleReceived | sample = 16 | datum = 2020-01-01 02:50:00 | P = 1008.39 | Pmean = 1008.45625
2026-05-05 15:18:25 | OnSampleReceived | sample = 17 | datum = 2020-01-01 03:00:00 | P = 1008.46 | Pmean = 1008.45647058824
2026-05-05 15:18:26 | OnSampleReceived | sample = 18 | datum = 2020-01-01 03:10:00 | P = 1008.15 | Pmean = 1008.43944444444
2026-05-05 15:18:27 | OnSampleReceived | sample = 19 | datum = 2020-01-01 03:20:00 | P = 1008.07 | Pmean = 1008.42
2026-05-05 15:18:28 | OnSampleReceived | sample = 20 | datum = 2020-01-01 03:30:00 | P = 1008.12 | Pmean = 1008.405
2026-05-05 15:18:29 | OnSampleReceived | sample = 21 | datum = 2020-01-01 03:40:00 | P = 1008.04 | Pmean = 1008.38761904762
2026-05-05 15:18:30 | OnSampleReceived | sample = 22 | datum = 2020-01-01 03:50:00 | P = 1008.16 | Pmean = 1008.37727272727
2026-05-05 15:18:31 | OnSampleReceived | sample = 23 | datum = 2020-01-01 04:00:00 | P = 1008 | Pmean = 1008.36086956522
2026-05-05 15:18:32 | OnSampleReceived | sample = 24 | datum = 2020-01-01 04:10:00 | P = 1007.76 | Pmean = 1008.33583333333
2026-05-05 15:18:33 | OnSampleReceived | sample = 25 | datum = 2020-01-01 04:20:00 | P = 1007.84 | Pmean = 1008.316
2026-05-05 15:18:34 | OnSampleReceived | sample = 26 | datum = 2020-01-01 04:30:00 | P = 1007.85 | Pmean = 1008.29807692308
2026-05-05 15:18:35 | OnSampleReceived | sample = 27 | datum = 2020-01-01 04:40:00 | P = 1008.02 | Pmean = 1008.28777777778
2026-05-05 15:18:36 | OnSampleReceived | sample = 28 | datum = 2020-01-01 04:50:00 | P = 1007.92 | Pmean = 1008.27464285714
2026-05-05 15:18:37 | OnSampleReceived | sample = 29 | datum = 2020-01-01 05:00:00 | P = 1007.63 | Pmean = 1008.2524137931
2026-05-05 15:18:38 | OnSampleReceived | sample = 30 | datum = 2020-01-01 05:10:00 | P = 1007.63 | Pmean = 1008.23166666667
2026-05-05 15:18:39 | OnSampleReceived | sample = 31 | datum = 2020-01-01 05:20:00 | P = 1007.9 | Pmean = 1008.22096774194
2026-05-05 15:18:40 | OnSampleReceived | sample = 32 | datum = 2020-01-01 05:30:00 | P = 1007.99 | Pmean = 1008.21375
2026-05-05 15:18:41 | OnSampleReceived | sample = 33 | datum = 2020-01-01 05:40:00 | P = 1007.85 | Pmean = 1008.20272727273
2026-05-05 15:18:42 | OnSampleReceived | sample = 34 | datum = 2020-01-01 05:50:00 | P = 1007.81 | Pmean = 1008.19117647059
2026-05-05 15:18:43 | OnSampleReceived | sample = 35 | datum = 2020-01-01 06:00:00 | P = 1007.81 | Pmean = 1008.18028571429
2026-05-05 15:18:44 | OnSampleReceived | sample = 36 | datum = 2020-01-01 06:10:00 | P = 1007.91 | Pmean = 1008.17277777778
2026-05-05 15:18:45 | OnSampleReceived | sample = 37 | datum = 2020-01-01 06:20:00 | P = 1008.06 | Pmean = 1008.16972972973
2026-05-05 15:18:46 | OnSampleReceived | sample = 38 | datum = 2020-01-01 06:30:00 | P = 1008.22 | Pmean = 1008.17105263158
2026-05-05 15:18:47 | OnSampleReceived | sample = 39 | datum = 2020-01-01 06:40:00 | P = 1008.19 | Pmean = 1008.17153846154
2026-05-05 15:18:48 | OnSampleReceived | sample = 40 | datum = 2020-01-01 06:50:00 | P = 1008.21 | Pmean = 1008.1725
2026-05-05 15:18:49 | OnSampleReceived | sample = 41 | datum = 2020-01-01 07:00:00 | P = 1008.17 | Pmean = 1008.17243902439
2026-05-05 15:18:50 | OnSampleReceived | sample = 42 | datum = 2020-01-01 07:10:00 | P = 1008.16 | Pmean = 1008.17214285714
2026-05-05 15:18:51 | OnSampleReceived | sample = 43 | datum = 2020-01-01 07:20:00 | P = 1008.17 | Pmean = 1008.17209302326
2026-05-05 15:18:52 | OnSampleReceived | sample = 44 | datum = 2020-01-01 07:30:00 | P = 1008.13 | Pmean = 1008.17113636364
2026-05-05 15:18:53 | OnSampleReceived | sample = 45 | datum = 2020-01-01 07:40:00 | P = 1008.25 | Pmean = 1008.17288888889
